scenario	phase	verb	site	object	calls	total_ms	mean_us	p99_us	rows_touched	prepared_pct	per_input_row	runs	spread_us	floor_us
inserts_many_txn	maintain	INSERT	src/1d_drain.rs:129	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	1000.0	1000
inserts_many_txn	maintain	INSERT	src/1d_drain.rs:130	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	2000.0	1000
inserts_many_txn	maintain	INSERT	src/1d_drain.rs:134	g	100	no effect at this scale	0.0	0.0	0	100.0	1.00	3	0.0	1000
inserts_many_txn	maintain	INSERT	src/1d_drain.rs:325	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	1000.0	1000
inserts_many_txn	maintain	INSERT	src/1d_drain.rs:327	g	100	1.000	10.0	0.0	100	100.0	1.00	3	2000.0	1000
inserts_many_txn	maintain	SELECT	src/1d_drain.rs:178	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	1000.0	1000
inserts_many_txn	maintain	SELECT	src/1d_drain.rs:187	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	1000.0	1000
inserts_many_txn	maintain	SELECT	src/1d_drain.rs:193	g	100	1.000	10.0	0.0	100	100.0	1.00	3	2000.0	1000
inserts_many_txn	maintain	SELECT	src/1d_drain.rs:328	g	100	no effect at this scale	0.0	0.0	100	100.0	1.00	3	1000.0	1000
inserts_many_txn	maintain	UPDATE	src/1d_drain.rs:326	g	100	no effect at this scale	0.0	0.0	0	100.0	1.00	3	1000.0	1000
inserts_many_txn	declare	CREATE	src/1d_drain.rs:23	g	11	no effect at this scale	0.0	0.0	0	0.0	0.11	3	0.0	1000
inserts_many_txn	declare	INSERT	src/0a_catalog.rs:79	g	10	no effect at this scale	0.0	0.0	10	0.0	0.10	3	0.0	1000
inserts_many_txn	declare	SELECT	src/0a_catalog.rs:71	g	10	no effect at this scale	0.0	0.0	10	0.0	0.10	3	0.0	1000
inserts_many_txn	declare	CREATE	src/0a_catalog.rs:26	g	6	no effect at this scale	0.0	0.0	0	0.0	0.06	3	0.0	1000
inserts_many_txn	declare	CREATE	src/1b_state.rs:195	g	4	no effect at this scale	0.0	0.0	1	0.0	0.04	3	0.0	1000
inserts_many_txn	declare	DELETE	src/1b_state.rs:205	g	4	no effect at this scale	0.0	0.0	0	0.0	0.04	3	0.0	1000
inserts_many_txn	materialize	DELETE	src/1b_state.rs:249	g	4	no effect at this scale	0.0	0.0	0	0.0	0.04	3	0.0	1000
inserts_many_txn	declare	CREATE	src/1a_relational.rs:270	g	3	no effect at this scale	0.0	0.0	0	0.0	0.03	3	0.0	1000
inserts_many_txn	declare	CREATE	src/1b_state.rs:82	g	3	no effect at this scale	0.0	0.0	0	0.0	0.03	3	0.0	1000
