circuit	fanout	n	rep	arm	wall_ms	insert_ms	delete_ms	update_ms	replace_ms	recompute_ms	peak_rss_mib	disk_read_bytes	disk_write_bytes	db_bytes	arrangement_rows	ivm_over_dd
group	10	1000	0	dd	1.7	0.0	0.0	0.0	0.2	0.0	0.0	0	0	0	0	
group	10	10000	0	sqlite-ivm	41.5	0.0	0.1	0.1	33.9	0.0	0.0	0	5365760	1146880	6	23.196
group	10	10000	0	sqlite-query	11.4	0.0	0.0	0.0	2.9	1.6	0.0	0	4571136	1085440	0	
group	10	10000	0	dd	1.8	0.0	0.0	0.0	0.4	0.0	0.0	0	0	0	0	
group	10	100000	0	sqlite-ivm	45.9	0.0	0.0	0.1	38.0	1.8	0.0	0	35909632	11448320	6	23.377
group	10	100000	0	sqlite-query	29.6	0.0	0.0	0.0	5.8	21.2	0.0	0	33484800	11247616	0	
group	10	100000	0	dd	2.0	0.0	0.0	0.0	0.2	0.4	0.0	0	0	0	0	
distinct	1	1000	0	sqlite-ivm	28.0	0.1	0.1	0.2	11.5	0.0	0.0	20480	4366336	249856	6	11.851
distinct	1	1000	0	sqlite-query	6.9	0.0	0.0	0.0	2.6	0.0	0.0	0	2494464	163840	0	
distinct	1	1000	0	dd	2.4	0.0	0.0	0.0	0.6	0.0	0.0	49152	0	0	0	
distinct	1	10000	0	sqlite-ivm	176.5	1.0	0.9	2.0	15.4	1.6	0.0	24576	10436608	2322432	6	66.586
distinct	1	10000	0	sqlite-query	9.0	0.0	0.0	0.0	2.7	0.8	0.0	0	4542464	1097728	0	
distinct	1	10000	0	dd	2.7	0.0	0.0	0.0	0.3	0.3	0.0	0	0	0	0	
distinct	1	100000	0	sqlite-ivm	1413.8	8.6	8.4	17.1	31.5	18.6	0.0	61440	85438464	24764416	6	281.155
distinct	1	100000	0	sqlite-query	16.1	0.0	0.0	0.0	2.9	10.4	0.0	24576	32137216	12115968	0	
distinct	1	100000	0	dd	5.0	0.0	0.0	0.0	0.2	3.4	0.0	0	0	0	0	
distinct	10	1000	0	sqlite-ivm	25.5	0.1	0.1	0.2	10.9	0.0	0.0	0	3325952	237568	6	15.192
distinct	10	1000	0	sqlite-query	6.8	0.0	0.0	0.0	2.6	0.0	0.0	4096	2457600	151552	0	
distinct	10	1000	0	dd	1.7	0.0	0.0	0.0	0.3	0.0	0.0	0	0	0	0	
distinct	10	10000	0	sqlite-ivm	29.6	0.1	0.1	0.3	11.1	0.0	0.0	4096	6901760	1171456	6	17.009
distinct	10	10000	0	sqlite-query	7.1	0.0	0.0	0.0	3.0	0.2	0.0	0	4571136	1085440	0	
distinct	10	10000	0	dd	1.7	0.0	0.0	0.0	0.3	0.0	0.0	0	0	0	0	
distinct	10	100000	0	sqlite-ivm	174.9	0.9	1.0	1.8	22.1	1.7	0.0	94208	50941952	13393920	6	98.305
distinct	10	100000	0	sqlite-query	10.9	0.0	0.0	0.0	5.7	2.5	0.0	16384	33484800	11247616	0	
distinct	10	100000	0	dd	1.8	0.0	0.0	0.0	0.2	0.3	0.0	0	0	0	0	
window	1	1000	0	sqlite-ivm	54.7	0.3	0.3	0.4	14.2	0.2	0.0	0	7999488	368640	6	16.611
window	1	1000	0	sqlite-query	18.0	0.0	0.0	0.0	2.6	0.6	0.0	8192	2494464	163840	0	
window	1	1000	0	dd	3.3	0.0	0.0	0.0	0.3	0.0	0.0	49152	0	0	0	
window	1	10000	0	sqlite-ivm	186.3	1.1	1.0	1.9	19.7	2.2	0.0	40960	13107200	2551808	6	60.223
window	1	10000	0	sqlite-query	26.3	0.0	0.0	0.0	2.8	6.6	0.0	36864	4542464	1097728	0	
window	1	10000	0	dd	3.1	0.0	0.0	0.0	0.2	0.4	0.0	0	0	0	0	
window	1	100000	0	sqlite-ivm	1472.5	8.9	8.8	17.7	33.4	24.7	0.0	81920	102457344	27525120	6	214.838
window	1	100000	0	sqlite-query	76.6	0.0	0.0	0.0	2.9	71.1	0.0	32768	32137216	12115968	0	
window	1	100000	0	dd	6.9	0.0	0.0	0.0	0.2	4.6	0.0	0	0	0	0	
window	10	1000	0	sqlite-ivm	63.2	0.3	0.2	0.6	15.2	0.2	0.0	12288	7532544	356352	6	16.380
window	10	1000	0	sqlite-query	18.4	0.0	0.0	0.0	2.6	0.6	0.0	12288	2457600	151552	0	
window	10	1000	0	dd	3.9	0.0	0.0	0.0	0.4	0.0	0.0	114688	0	0	0	
window	10	10000	0	sqlite-ivm	300.2	1.9	1.3	2.9	47.4	2.4	0.0	65536	34381824	2289664	6	45.993
window	10	10000	0	sqlite-query	25.2	0.0	0.0	0.0	3.0	6.1	0.0	8192	4571136	1085440	0	
window	10	10000	0	dd	6.5	0.0	0.0	0.0	0.5	0.5	0.0	16384	0	0	0	
window	10	100000	0	sqlite-ivm	1527.4	9.0	8.7	18.0	74.6	25.4	0.0	32768	96595968	22888448	6	216.211
window	10	100000	0	sqlite-query	75.5	0.0	0.0	0.0	5.8	67.0	0.0	0	33484800	11247616	0	
window	10	100000	0	dd	7.1	0.0	0.0	0.0	0.3	4.7	0.0	0	0	0	0	
reach	1	1000	0	sqlite-ivm	507.6	0.3	0.4	0.7	451.2	0.0	0.0	16384	10252288	417792	13	88.975
reach	1	1000	0	sqlite-query	12.6	0.0	0.0	0.0	2.6	0.3	0.0	0	2494464	163840	0	
reach	1	1000	0	dd	5.7	0.0	0.0	0.1	0.3	0.0	0.0	114688	0	0	0	
reach	1	10000	0	sqlite-ivm	1782.9	1.1	10.9	12.6	794.4	1.6	0.0	45056	52850688	4161536	13	317.132
reach	1	10000	0	sqlite-query	29.0	0.0	0.0	0.0	2.8	7.5	0.0	0	4542464	1097728	0	
reach	1	10000	0	dd	5.6	0.0	0.0	0.0	0.2	0.3	0.0	0	0	0	0	
reach	1	100000	0	sqlite-ivm	647667.4	9.0	5960.0	7754.0	98720.3	27.5	0.0	93843456	796778496	45768704	13	79625.536
reach	1	100000	0	sqlite-query	87.8	0.0	0.0	0.0	2.9	82.2	0.0	0	32137216	12115968	0	
reach	1	100000	0	dd	8.1	0.0	0.0	0.0	0.2	3.6	0.0	0	0	0	0	
reach	10	1000	0	sqlite-ivm	682.1	0.3	2.7	2.6	459.6	0.0	0.0	8192	9097216	405504	13	145.021
reach	10	1000	0	sqlite-query	11.5	0.0	0.0	0.0	2.6	0.3	0.0	0	2457600	151552	0	
reach	10	1000	0	dd	4.7	0.0	0.0	0.0	0.2	0.0	0.0	0	0	0	0	
reach	10	10000	0	sqlite-ivm	652.9	1.2	1.2	2.3	463.1	0.1	0.0	20480	16777216	2363392	13	120.651
reach	10	10000	0	sqlite-query	14.1	0.0	0.0	0.0	3.0	2.5	0.0	20480	4571136	1085440	0	
reach	10	10000	0	dd	5.4	0.0	0.0	0.0	0.4	0.0	0.0	0	0	0	0	
reach	10	100000	0	sqlite-ivm	3319.0	9.0	20.8	30.8	894.3	1.7	0.0	61440	154308608	25915392	13	682.927
reach	10	100000	0	sqlite-query	44.6	0.0	0.0	0.0	5.7	36.3	0.0	0	33484800	11247616	0	
reach	10	100000	0	dd	4.9	0.0	0.0	0.0	0.2	0.3	0.0	0	0	0	0	
