circuit	fanout	n	rep	arm	wall_ms	insert_ms	delete_ms	update_ms	replace_ms	recompute_ms	peak_rss_mib	disk_read_bytes	disk_write_bytes	db_bytes	arrangement_rows	ivm_over_dd
reach	1	20000	0	sqlite-ivm	8200.8	1.9	64.0	77.2	2464.2	3.6	20.6	53248	112746496	8482816	13	
reach	1	40000	0	sqlite-ivm	30118.1	3.7	351.5	345.4	2075.6	6.9	30.9	90112	194945024	16633856	13	
reach	1	60000	0	sqlite-ivm	693419.8	5.4	10189.9	5885.5	50150.4	12.3	32.1	42668032	421060608	27557888	13	
reach	1	80000	0	sqlite-ivm	1269715.4	7.3	17784.7	11746.8	88118.6	14.5	38.7	114688	606412800	37113856	13	
