case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	affected_rows	10		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	checksum	591b0d8a287188f02da75bd4b1b17d81519b5619552cef5fe60962313da9af7d		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	input_hash	2c73c03d18790ec54785c1a8f0853df4abafa19216e56f17675cd7be1cefd1ba		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	output_bytes	1528		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	output_rows	226		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	query_compute_ms	0.042208		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	state	batch_key_value_move		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	update_plus_query_ms	0.6415		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	update_transaction_ms	0.5992919999999999		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	profile	circuits		
