suite	case	engine	status	states	reason
circuits	except_set	prolog	ok	13	
circuits	except_set	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	except_set	pg-query	ok	13	
circuits	except_set	sqlite-query	ok	13	
circuits	except_set	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	except_set	pglite-query	ok	13	
circuits	intersect_set	sqlite-ivm	ok	13	
circuits	intersect_set	dd	ok	13	
circuits	intersect_set	prolog	ok	13	
circuits	intersect_set	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	intersect_set	pg-query	ok	13	
circuits	intersect_set	sqlite-query	ok	13	
circuits	intersect_set	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	intersect_set	pglite-query	ok	13	
circuits	topk	sqlite-ivm	ok	13	
circuits	topk	dd	ok	13	
circuits	topk	prolog	ok	13	
circuits	topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
circuits	topk	pg-query	ok	13	
circuits	topk	sqlite-query	ok	13	
circuits	topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
circuits	topk	pglite-query	ok	13	
circuits	window_rank	sqlite-ivm	ok	13	
circuits	window_rank	dd	ok	13	
circuits	window_rank	prolog	ok	13	
circuits	window_rank	pg-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
circuits	window_rank	pg-query	ok	13	
circuits	window_rank	sqlite-query	ok	13	
circuits	window_rank	pglite-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
circuits	window_rank	pglite-query	ok	13	
circuits	subquery	sqlite-ivm	ok	13	
circuits	subquery	dd	ok	13	
circuits	subquery	prolog	ok	13	
circuits	subquery	pg-ivm	ok	13	
circuits	subquery	pg-query	ok	13	
circuits	subquery	sqlite-query	ok	13	
circuits	subquery	pglite-ivm	ok	13	
circuits	subquery	pglite-query	ok	13	
circuits	cte	sqlite-ivm	ok	13	
circuits	cte	dd	ok	13	
circuits	cte	prolog	ok	13	
circuits	cte	pg-ivm	ok	13	
circuits	cte	pg-query	ok	13	
circuits	cte	sqlite-query	ok	13	
circuits	cte	pglite-ivm	ok	13	
circuits	cte	pglite-query	ok	13	
typed	right_join	sqlite-ivm	ok	174	
typed	right_join	dd	ok	174	
typed	right_join	prolog	ok	174	
typed	right_join	pg-ivm	ok	174	
typed	right_join	pg-query	ok	174	
typed	right_join	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	right_join	pglite-ivm	ok	174	
typed	right_join	pglite-query	ok	174	
typed	full_join	sqlite-ivm	ok	174	
typed	full_join	dd	ok	174	
typed	full_join	prolog	ok	174	
typed	full_join	pg-ivm	ok	174	
typed	full_join	pg-query	ok	174	
typed	full_join	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	full_join	pglite-ivm	ok	174	
typed	full_join	pglite-query	ok	174	
typed	left_residual	sqlite-ivm	ok	174	
typed	left_residual	dd	ok	174	
typed	left_residual	prolog	ok	174	
typed	left_residual	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	left_residual	pg-query	ok	174	
typed	left_residual	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	left_residual	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	left_residual	pglite-query	ok	174	
typed	full_residual	sqlite-ivm	ok	174	
typed	full_residual	dd	ok	174	
typed	full_residual	prolog	ok	174	
typed	full_residual	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	full_residual	pg-query	ok	174	
typed	full_residual	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	full_residual	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	full_residual	pglite-query	ok	174	
typed	theta_join	sqlite-ivm	ok	174	
typed	theta_join	dd	ok	174	
typed	theta_join	prolog	ok	174	
typed	theta_join	pg-ivm	ok	174	
typed	theta_join	pg-query	ok	174	
typed	theta_join	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	theta_join	pglite-ivm	ok	174	
typed	theta_join	pglite-query	ok	174	
typed	cross_join	sqlite-ivm	ok	174	
typed	cross_join	dd	ok	174	
typed	cross_join	prolog	ok	174	
typed	cross_join	pg-ivm	ok	174	
typed	cross_join	pg-query	ok	174	
typed	cross_join	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	cross_join	pglite-ivm	ok	174	
typed	cross_join	pglite-query	ok	174	
typed	comma_filter	sqlite-ivm	ok	174	
typed	comma_filter	dd	ok	174	
typed	comma_filter	prolog	ok	174	
typed	comma_filter	pg-ivm	ok	174	
typed	comma_filter	pg-query	ok	174	
typed	comma_filter	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	comma_filter	pglite-ivm	ok	174	
typed	comma_filter	pglite-query	ok	174	
typed	using_inner	sqlite-ivm	ok	174	
typed	using_inner	dd	ok	174	
typed	using_inner	prolog	ok	174	
typed	using_inner	pg-ivm	ok	174	
typed	using_inner	pg-query	ok	174	
typed	using_inner	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	using_inner	pglite-ivm	ok	174	
typed	using_inner	pglite-query	ok	174	
typed	using_full	sqlite-ivm	ok	174	
typed	using_full	dd	ok	174	
typed	using_full	prolog	ok	174	
typed	using_full	pg-ivm	mismatch	174	
typed	using_full	pg-query	ok	174	
typed	using_full	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	using_full	pglite-ivm	mismatch	174	
typed	using_full	pglite-query	ok	174	
typed	natural_left	sqlite-ivm	ok	174	
typed	natural_left	dd	ok	174	
typed	natural_left	prolog	ok	174	
typed	natural_left	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	natural_left	pg-query	ok	174	
typed	natural_left	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	natural_left	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	natural_left	pglite-query	ok	174	
typed	using_star	sqlite-ivm	ok	174	
typed	using_star	dd	ok	174	
typed	using_star	prolog	ok	174	
typed	using_star	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	using_star	pg-query	ok	174	
typed	using_star	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	using_star	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	using_star	pglite-query	ok	174	
typed	qualified_star	sqlite-ivm	ok	174	
typed	qualified_star	dd	ok	174	
typed	qualified_star	prolog	ok	174	
typed	qualified_star	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	qualified_star	pg-query	ok	174	
typed	qualified_star	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	qualified_star	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	qualified_star	pglite-query	ok	174	
typed	self_outer	sqlite-ivm	ok	174	
typed	self_outer	dd	ok	174	
typed	self_outer	prolog	ok	174	
typed	self_outer	pg-ivm	ok	174	
typed	self_outer	pg-query	ok	174	
typed	self_outer	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	self_outer	pglite-ivm	ok	174	
typed	self_outer	pglite-query	ok	174	
typed	outer_chain	sqlite-ivm	ok	174	
typed	outer_chain	dd	ok	174	
typed	outer_chain	prolog	ok	174	
typed	outer_chain	pg-ivm	ok	174	
typed	outer_chain	pg-query	ok	174	
typed	outer_chain	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	outer_chain	pglite-ivm	ok	174	
typed	outer_chain	pglite-query	ok	174	
typed	filtered_exists	sqlite-ivm	ok	174	
typed	filtered_exists	dd	ok	174	
typed	filtered_exists	prolog	ok	174	
typed	filtered_exists	pg-ivm	ok	174	
typed	filtered_exists	pg-query	ok	174	
typed	filtered_exists	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	filtered_exists	pglite-ivm	ok	174	
typed	filtered_exists	pglite-query	ok	174	
typed	filtered_not_exists	sqlite-ivm	ok	174	
typed	filtered_not_exists	dd	ok	174	
typed	filtered_not_exists	prolog	ok	174	
typed	filtered_not_exists	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	filtered_not_exists	pg-query	ok	174	
typed	filtered_not_exists	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	filtered_not_exists	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	filtered_not_exists	pglite-query	ok	174	
typed	joined_exists	sqlite-ivm	ok	174	
typed	joined_exists	dd	ok	174	
typed	joined_exists	prolog	ok	174	
typed	joined_exists	pg-ivm	ok	174	
typed	joined_exists	pg-query	ok	174	
typed	joined_exists	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	joined_exists	pglite-ivm	ok	174	
typed	joined_exists	pglite-query	ok	174	
typed	nullable_sum	sqlite-ivm	ok	174	
typed	nullable_sum	dd	ok	174	
typed	nullable_sum	prolog	ok	174	
typed	nullable_sum	pg-ivm	ok	174	
typed	nullable_sum	pg-query	ok	174	
typed	nullable_sum	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	nullable_sum	pglite-ivm	ok	174	
typed	nullable_sum	pglite-query	ok	174	
typed	group_only	sqlite-ivm	ok	174	
typed	group_only	dd	ok	174	
typed	group_only	prolog	ok	174	
typed	group_only	pg-ivm	unsupported	0	GROUP BY clause without aggregate is not supported on incrementally maintainable materialized view
typed	group_only	pg-query	ok	174	
